식품명,식품대분류명,에너지(kcal),단백질(g),당류(g),포화지방산(g),나트륨(mg),식이섬유(g),score_energy,score_sugar,score_satfat,score_sodium,food_group_score,kfni_total_score,kfni_grade
치즈빵_치즈방앗간,빵 및 과자류,308,5.77,9.62,8.27,404.0,,3,2,3,2,5,15,E
와플_생초콜릿생크림 와플,빵 및 과자류,392,3.85,17.03,15.93,115.0,,3,3,3,0,5,14,E
츄러스_치즈스틱츄,빵 및 과자류,367,5.14,13.71,1.71,354.0,,3,3,1,2,5,14,E
츄러스_초코필링츄,빵 및 과자류,400,5.58,20.0,3.77,294.0,,3,3,2,1,5,14,E
츄러스_쌍쌍 츄로스,빵 및 과자류,457,5.17,10.34,13.79,466.0,,3,2,3,3,5,16,E
츄러스_시나몬츄라이,빵 및 과자류,484,5.56,12.78,1.94,362.0,,3,3,1,2,5,14,E
번_핫 치즈번,빵 및 과자류,392,6.67,16.67,10.0,233.0,,3,3,3,1,5,15,E
와플_불치플 불고기치즈피자 와플,빵 및 과자류,306,13.75,8.13,5.63,546.0,,3,2,2,3,5,15,E
츄러스_츄러스,빵 및 과자류,375,2.78,19.44,2.78,417.0,,3,3,1,2,5,14,E
치즈빵_양파치즈브레드,빵 및 과자류,327,8.54,6.1,4.07,472.0,,3,1,2,3,5,14,E
번_바닐라번,빵 및 과자류,360,8.42,12.63,7.37,281.0,,3,3,2,1,5,14,E
번_미니모카빵,빵 및 과자류,336,7.27,20.0,4.18,327.0,,3,3,2,1,5,14,E
치즈빵_카스타드화이트치즈볼 (5개입),빵 및 과자류,337,4.67,14.0,8.33,363.0,,3,3,3,2,5,16,E
치즈빵_카스타드화이트치즈볼 (4개입),빵 및 과자류,338,4.58,13.75,8.33,350.0,,3,3,3,2,5,16,E
치즈빵_카스타드화이트치즈볼 (3개입),빵 및 과자류,336,4.44,13.89,8.33,350.0,,3,3,3,2,5,16,E
번_모카빵,빵 및 과자류,355,8.0,8.0,4.5,374.0,,3,2,2,2,5,14,E
번_모카빵 (소),빵 및 과자류,335,6.42,20.18,4.13,330.0,,3,3,2,1,5,14,E
